condition,k,n_sentences,mean,std,sem,ci_lower,ci_upper
JABBERWOCKY,1,30,0.047529296,1.3877787807814457e-17,2.533725810203382e-18,0.047529296,0.047529296
JABBERWOCKY,2,30,0.059233226,0.006204,0.00113269,0.057186281245564366,0.061725889
JABBERWOCKY,4,30,0.064643775,0.009960736,0.001818573,0.061580713509356386,0.068536925
JABBERWOCKY,full,30,0.065933459,0.009552838,0.001744102,0.062767055,0.069543123
FULL_SCRAMBLED,1,30,0.047529296,1.3877787807814457e-17,2.533725810203382e-18,0.047529296,0.047529296
FULL_SCRAMBLED,2,30,0.070644418,0.010063807969566737,0.001837392,0.067087278,0.074380226
FULL_SCRAMBLED,4,30,0.069525525,0.016444610863566505,0.003002361,0.063928057,0.075461952
FULL_SCRAMBLED,full,30,0.066500182,0.015525944901668264,0.002834637,0.060870839,0.071871989
FUNCTION_SCRAMBLED,1,30,0.047529296,1.3877787807814457e-17,2.533725810203382e-18,0.047529296,0.047529296
FUNCTION_SCRAMBLED,2,30,0.071424043,0.012422923489878963,0.002268105,0.066976462,0.075980374
FUNCTION_SCRAMBLED,4,30,0.078846539,0.025887777,0.00472644,0.070488734,0.089152485
FUNCTION_SCRAMBLED,full,30,0.073121453,0.019525400648854756,0.003564834,0.066347478,0.080448538
