set_id,cue_family,cue_word,condition,context_k,target_mass,mass_VERB,mass_NOUN,mass_ADJ,mass_NP_START,mass_PARTICIPLE,mass_CLAUSE_START
1,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
1,infinitival_to,to,SENTENCE,2,0.24917719890800072,0.24917719890800072,,,,,
1,infinitival_to,to,SENTENCE,4,0.6364153338327014,0.6364153338327014,,,,,
1,infinitival_to,to,SENTENCE,8,0.6364153338327014,0.6364153338327014,,,,,
1,infinitival_to,to,SENTENCE,full,0.6364153338327014,0.6364153338327014,,,,,
1,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
1,infinitival_to,to,JABBERWOCKY,2,0.24917719890800072,0.24917719890800072,,,,,
1,infinitival_to,to,JABBERWOCKY,4,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,JABBERWOCKY,8,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,JABBERWOCKY,full,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,FULL_SCRAMBLED,1,0.0038975585557636805,0.0038975585557636805,,,,,
1,infinitival_to,to,FULL_SCRAMBLED,2,0.002898518432630226,0.002898518432630226,,,,,
1,infinitival_to,to,FULL_SCRAMBLED,4,0.0009236741170752794,0.0009236741170752794,,,,,
1,infinitival_to,to,FULL_SCRAMBLED,8,0.0009236741170752794,0.0009236741170752794,,,,,
1,infinitival_to,to,FULL_SCRAMBLED,full,0.0009236741170752794,0.0009236741170752794,,,,,
1,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
1,infinitival_to,to,CONTENT_SCRAMBLED,2,0.24917719890800072,0.24917719890800072,,,,,
1,infinitival_to,to,CONTENT_SCRAMBLED,4,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,CONTENT_SCRAMBLED,8,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,CONTENT_SCRAMBLED,full,0.06956774520222098,0.06956774520222098,,,,,
1,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
1,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.0244330674468074,0.0244330674468074,,,,,
1,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.012724014217383228,0.012724014217383228,,,,,
1,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.012724014217383228,0.012724014217383228,,,,,
1,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.012724014217383228,0.012724014217383228,,,,,
1,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
1,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
1,infinitival_to,to,CUE_DELETED,4,2.8963593649677932e-05,2.8963593649677932e-05,,,,,
1,infinitival_to,to,CUE_DELETED,8,2.8963593649677932e-05,2.8963593649677932e-05,,,,,
1,infinitival_to,to,CUE_DELETED,full,2.8963593649677932e-05,2.8963593649677932e-05,,,,,
2,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
2,infinitival_to,to,SENTENCE,2,0.24308190563169774,0.24308190563169774,,,,,
2,infinitival_to,to,SENTENCE,4,0.3111008183477679,0.3111008183477679,,,,,
2,infinitival_to,to,SENTENCE,8,0.3111008183477679,0.3111008183477679,,,,,
2,infinitival_to,to,SENTENCE,full,0.3111008183477679,0.3111008183477679,,,,,
2,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
