tokenizer,condition,set_id,n_tokens_total,n_words_whitespace,tokens_per_word,subtokens_mean,subtokens_min,subtokens_max
gpt2,sentence,1,10,10,1.0,1.4,1,2
gpt2,sentence,2,9,9,1.0,1.4444444444444444,1,2
gpt2,sentence,3,10,10,1.0,1.2,1,2
gpt2,sentence,4,8,8,1.0,1.125,1,2
gpt2,sentence,5,9,9,1.0,1.2222222222222223,1,2
gpt2,sentence,6,8,8,1.0,1.25,1,2
gpt2,sentence,7,9,9,1.0,1.4444444444444444,1,3
gpt2,sentence,8,8,8,1.0,1.375,1,2
gpt2,sentence,9,8,8,1.0,1.25,1,2
gpt2,sentence,10,7,7,1.0,1.5714285714285714,1,3
gpt2,sentence,11,8,8,1.0,1.625,1,3
gpt2,sentence,12,8,8,1.0,1.25,1,2
gpt2,sentence,13,8,8,1.0,1.25,1,2
gpt2,sentence,14,8,8,1.0,1.375,1,2
gpt2,sentence,15,9,8,1.125,1.25,1,2
gpt2,sentence,16,9,9,1.0,1.5555555555555556,1,3
gpt2,sentence,17,7,7,1.0,1.5714285714285714,1,3
gpt2,sentence,18,9,8,1.125,1.375,1,2
gpt2,sentence,19,8,7,1.1428571428571428,1.7142857142857142,1,3
gpt2,sentence,20,7,7,1.0,1.7142857142857142,1,4
gpt2,sentence,21,8,8,1.0,1.25,1,2
gpt2,sentence,22,8,8,1.0,1.25,1,2
gpt2,sentence,23,8,8,1.0,1.125,1,2
gpt2,sentence,24,7,7,1.0,1.1428571428571428,1,2
gpt2,sentence,25,8,8,1.0,1.25,1,2
gpt2,sentence,26,8,8,1.0,1.25,1,3
gpt2,sentence,27,7,7,1.0,1.5714285714285714,1,3
gpt2,sentence,28,7,7,1.0,1.8571428571428572,1,4
gpt2,sentence,29,8,8,1.0,1.25,1,2
gpt2,sentence,30,8,8,1.0,1.625,1,3
gpt2,jabberwocky,1,18,10,1.8,1.7,1,3
gpt2,jabberwocky,2,17,9,1.8888888888888888,2.111111111111111,1,3
gpt2,jabberwocky,3,18,10,1.8,1.8,1,4
gpt2,jabberwocky,4,15,8,1.875,1.875,1,3
gpt2,jabberwocky,5,16,9,1.7777777777777777,1.8888888888888888,1,3
gpt2,jabberwocky,6,16,8,2.0,2.0,1,4
gpt2,jabberwocky,7,17,9,1.8888888888888888,1.8888888888888888,1,3
gpt2,jabberwocky,8,16,8,2.0,2.0,1,4
gpt2,jabberwocky,9,16,8,2.0,2.0,1,4
gpt2,jabberwocky,10,15,7,2.142857142857143,2.0,1,4
gpt2,jabberwocky,11,17,8,2.125,2.125,1,3
gpt2,jabberwocky,12,15,8,1.875,1.875,1,3
gpt2,jabberwocky,13,16,8,2.0,2.0,1,3
gpt2,jabberwocky,14,16,8,2.0,2.125,1,3
gpt2,jabberwocky,15,17,8,2.125,2.25,1,4
gpt2,jabberwocky,16,18,9,2.0,2.0,1,4
gpt2,jabberwocky,17,15,7,2.142857142857143,2.2857142857142856,1,4
gpt2,jabberwocky,18,17,8,2.125,2.125,1,4
gpt2,jabberwocky,19,16,7,2.2857142857142856,2.4285714285714284,1,4
gpt2,jabberwocky,20,13,7,1.8571428571428572,1.7142857142857142,1,3
gpt2,jabberwocky,21,17,8,2.125,2.125,1,4
gpt2,jabberwocky,22,15,8,1.875,1.875,1,3
gpt2,jabberwocky,23,13,8,1.625,1.75,1,3
gpt2,jabberwocky,24,17,7,2.4285714285714284,2.4285714285714284,1,3
