tokenizer,condition,set_id,n_tokens_total,n_words_whitespace,tokens_per_word,subtokens_mean,subtokens_min,subtokens_max
pythia,sentence,1,10,10,1.0,1.3,1,2
pythia,sentence,2,9,9,1.0,1.4444444444444444,1,2
pythia,sentence,3,10,10,1.0,1.2,1,2
pythia,sentence,4,8,8,1.0,1.125,1,2
pythia,sentence,5,9,9,1.0,1.2222222222222223,1,2
pythia,sentence,6,8,8,1.0,1.125,1,2
pythia,sentence,7,9,9,1.0,1.4444444444444444,1,3
pythia,sentence,8,8,8,1.0,1.5,1,3
pythia,sentence,9,8,8,1.0,1.25,1,2
pythia,sentence,10,7,7,1.0,1.5714285714285714,1,3
pythia,sentence,11,8,8,1.0,1.75,1,3
pythia,sentence,12,8,8,1.0,1.25,1,2
pythia,sentence,13,8,8,1.0,1.375,1,2
pythia,sentence,14,8,8,1.0,1.375,1,2
pythia,sentence,15,9,8,1.125,1.625,1,3
pythia,sentence,16,10,9,1.1111111111111112,1.5555555555555556,1,3
pythia,sentence,17,7,7,1.0,1.2857142857142858,1,2
pythia,sentence,18,9,8,1.125,1.625,1,3
pythia,sentence,19,8,7,1.1428571428571428,1.5714285714285714,1,3
pythia,sentence,20,7,7,1.0,1.5714285714285714,1,3
pythia,sentence,21,8,8,1.0,1.375,1,2
pythia,sentence,22,8,8,1.0,1.125,1,2
pythia,sentence,23,8,8,1.0,1.125,1,2
pythia,sentence,24,7,7,1.0,1.1428571428571428,1,2
pythia,sentence,25,8,8,1.0,1.125,1,2
pythia,sentence,26,8,8,1.0,1.25,1,3
pythia,sentence,27,7,7,1.0,1.5714285714285714,1,3
pythia,sentence,28,8,7,1.1428571428571428,1.7142857142857142,1,3
pythia,sentence,29,8,8,1.0,1.125,1,2
pythia,sentence,30,8,8,1.0,1.5,1,2
pythia,jabberwocky,1,18,10,1.8,1.8,1,3
pythia,jabberwocky,2,17,9,1.8888888888888888,2.0,1,3
pythia,jabberwocky,3,17,10,1.7,1.8,1,4
pythia,jabberwocky,4,15,8,1.875,1.875,1,3
pythia,jabberwocky,5,16,9,1.7777777777777777,1.8888888888888888,1,3
pythia,jabberwocky,6,15,8,1.875,2.0,1,4
pythia,jabberwocky,7,16,9,1.7777777777777777,1.8888888888888888,1,3
pythia,jabberwocky,8,16,8,2.0,2.0,1,4
pythia,jabberwocky,9,16,8,2.0,2.0,1,4
pythia,jabberwocky,10,15,7,2.142857142857143,2.0,1,4
pythia,jabberwocky,11,17,8,2.125,2.125,1,3
pythia,jabberwocky,12,14,8,1.75,1.875,1,3
pythia,jabberwocky,13,16,8,2.0,2.125,1,3
pythia,jabberwocky,14,16,8,2.0,2.0,1,3
pythia,jabberwocky,15,17,8,2.125,2.25,1,4
pythia,jabberwocky,16,18,9,2.0,2.0,1,4
pythia,jabberwocky,17,15,7,2.142857142857143,2.2857142857142856,1,4
pythia,jabberwocky,18,16,8,2.0,2.125,1,4
pythia,jabberwocky,19,17,7,2.4285714285714284,2.4285714285714284,1,4
pythia,jabberwocky,20,13,7,1.8571428571428572,1.8571428571428572,1,3
pythia,jabberwocky,21,17,8,2.125,2.125,1,4
pythia,jabberwocky,22,16,8,2.0,1.875,1,3
pythia,jabberwocky,23,13,8,1.625,1.625,1,3
pythia,jabberwocky,24,17,7,2.4285714285714284,2.4285714285714284,1,3
pythia,jabberwocky,25,17,8,2.125,2.0,1,3
pythia,jabberwocky,26,14,8,1.75,1.75,1,3
pythia,jabberwocky,27,14,7,2.0,2.142857142857143,1,3
pythia,jabberwocky,28,14,7,2.0,2.0,1,3
pythia,jabberwocky,29,15,8,1.875,2.0,1,3
pythia,jabberwocky,30,15,8,1.875,2.0,1,4
pythia,stripped,1,20,10,2.0,2.0,2,2
pythia,stripped,2,20,9,2.2222222222222223,2.2222222222222223,1,3
pythia,stripped,3,24,10,2.4,2.4,2,3
pythia,stripped,4,18,8,2.25,2.125,2,3
pythia,stripped,5,20,9,2.2222222222222223,2.3333333333333335,2,3
pythia,stripped,6,18,8,2.25,2.375,2,3
pythia,stripped,7,20,9,2.2222222222222223,2.3333333333333335,2,3
pythia,stripped,8,19,8,2.375,2.375,2,3
pythia,stripped,9,19,8,2.375,2.25,2,3
pythia,stripped,10,17,7,2.4285714285714284,2.142857142857143,2,3
pythia,stripped,11,17,8,2.125,2.125,2,3
pythia,stripped,12,17,8,2.125,2.125,2,3
pythia,stripped,13,18,8,2.25,2.375,2,3
pythia,stripped,14,18,8,2.25,2.375,2,3
pythia,stripped,15,19,8,2.375,2.5,2,4
pythia,stripped,16,21,9,2.3333333333333335,2.3333333333333335,2,3
pythia,stripped,17,16,7,2.2857142857142856,2.2857142857142856,2,3
pythia,stripped,18,19,8,2.375,2.5,2,3
pythia,stripped,19,17,7,2.4285714285714284,2.4285714285714284,2,3
pythia,stripped,20,15,7,2.142857142857143,2.142857142857143,2,3
pythia,stripped,21,21,8,2.625,2.625,2,3
pythia,stripped,22,19,8,2.375,2.125,2,3
pythia,stripped,23,18,8,2.25,2.25,2,3
pythia,stripped,24,17,7,2.4285714285714284,2.4285714285714284,2,3
pythia,stripped,25,19,8,2.375,2.125,2,3
pythia,stripped,26,18,8,2.25,2.25,2,3
pythia,stripped,27,15,7,2.142857142857143,2.142857142857143,1,3
pythia,stripped,28,18,7,2.5714285714285716,2.5714285714285716,2,3
pythia,stripped,29,16,8,2.0,2.125,2,3
pythia,stripped,30,17,8,2.125,2.25,1,3
pythia,nonwords,1,24,10,2.4,2.5,2,4
pythia,nonwords,2,22,9,2.4444444444444446,2.4444444444444446,2,3
pythia,nonwords,3,26,10,2.6,2.7,2,4
pythia,nonwords,4,17,8,2.125,2.25,2,4
pythia,nonwords,5,20,9,2.2222222222222223,2.3333333333333335,2,4
pythia,nonwords,6,18,8,2.25,2.25,2,3
pythia,nonwords,7,23,9,2.5555555555555554,2.3333333333333335,2,3
pythia,nonwords,8,17,8,2.125,2.125,2,3
pythia,nonwords,9,18,8,2.25,2.125,2,3
pythia,nonwords,10,17,7,2.4285714285714284,2.5714285714285716,2,3
pythia,nonwords,11,17,8,2.125,2.0,1,3
pythia,nonwords,12,17,8,2.125,2.25,2,3
pythia,nonwords,13,17,8,2.125,2.125,2,3
pythia,nonwords,14,17,8,2.125,2.125,2,3
pythia,nonwords,15,20,8,2.5,2.375,2,3
pythia,nonwords,16,23,9,2.5555555555555554,2.6666666666666665,2,3
pythia,nonwords,17,17,7,2.4285714285714284,2.2857142857142856,2,3
pythia,nonwords,18,17,8,2.125,2.25,2,3
pythia,nonwords,19,16,7,2.2857142857142856,2.2857142857142856,2,3
pythia,nonwords,20,15,7,2.142857142857143,2.2857142857142856,1,3
pythia,nonwords,21,18,8,2.25,2.125,2,3
pythia,nonwords,22,19,8,2.375,2.25,2,3
pythia,nonwords,23,20,8,2.5,2.25,2,3
pythia,nonwords,24,18,7,2.5714285714285716,2.5714285714285716,2,3
pythia,nonwords,25,17,8,2.125,2.125,2,3
pythia,nonwords,26,18,8,2.25,2.125,2,3
pythia,nonwords,27,17,7,2.4285714285714284,2.4285714285714284,2,3
pythia,nonwords,28,15,7,2.142857142857143,2.142857142857143,2,3
pythia,nonwords,29,19,8,2.375,2.375,2,3
pythia,nonwords,30,17,8,2.125,2.25,2,3
